Cause,DAVIDSON_Total_Rank,DAVIDSON_Total_Number,DAVIDSON_Total_Rate,DAVIDSON_Total_Age_Adjusted_Rate,DAVIDSON_Male_Rank,DAVIDSON_Male_Number,DAVIDSON_Male_Rate,DAVIDSON_Male_Age_Adjusted_Rate,DAVIDSON_Female_Rank,DAVIDSON_Female_Number,DAVIDSON_Female_Rate,DAVIDSON_Female_Age_Adjusted_Rate,Region,EAST_Total_Rank,EAST_Total_Number,EAST_Total_Rate,EAST_Total_Age_Adjusted_Rate,EAST_Male_Rank,EAST_Male_Number,EAST_Male_Rate,EAST_Male_Age_Adjusted_Rate,EAST_Female_Rank,EAST_Female_Number,EAST_Female_Rate,EAST_Female_Age_Adjusted_Rate,HAMILTON_Total_Rank,HAMILTON_Total_Number,HAMILTON_Total_Rate,HAMILTON_Total_Age_Adjusted_Rate,HAMILTON_Male_Rank,HAMILTON_Male_Number,HAMILTON_Male_Rate,HAMILTON_Male_Age_Adjusted_Rate,HAMILTON_Female_Rank,HAMILTON_Female_Number,HAMILTON_Female_Rate,HAMILTON_Female_Age_Adjusted_Rate,KNOX_Total_Rank,KNOX_Total_Number,KNOX_Total_Rate,KNOX_Total_Age_Adjusted_Rate,KNOX_Male_Rank,KNOX_Male_Number,KNOX_Male_Rate,KNOX_Male_Age_Adjusted_Rate,KNOX_Female_Rank,KNOX_Female_Number,KNOX_Female_Rate,KNOX_Female_Age_Adjusted_Rate,MADISON_Total_Rank,MADISON_Total_Number,MADISON_Total_Rate,MADISON_Total_Age_Adjusted_Rate,MADISON_Male_Rank,MADISON_Male_Number,MADISON_Male_Rate,MADISON_Male_Age_Adjusted_Rate,MADISON_Female_Rank,MADISON_Female_Number,MADISON_Female_Rate,MADISON_Female_Age_Adjusted_Rate,MID-CUMBERLAND_Total_Rank,MID-CUMBERLAND_Total_Number,MID-CUMBERLAND_Total_Rate,MID-CUMBERLAND_Total_Age_Adjusted_Rate,MID-CUMBERLAND_Male_Rank,MID-CUMBERLAND_Male_Number,MID-CUMBERLAND_Male_Rate,MID-CUMBERLAND_Male_Age_Adjusted_Rate,MID-CUMBERLAND_Female_Rank,MID-CUMBERLAND_Female_Number,MID-CUMBERLAND_Female_Rate,MID-CUMBERLAND_Female_Age_Adjusted_Rate,NORTHEAST_Total_Rank,NORTHEAST_Total_Number,NORTHEAST_Total_Rate,NORTHEAST_Total_Age_Adjusted_Rate,NORTHEAST_Male_Rank,NORTHEAST_Male_Number,NORTHEAST_Male_Rate,NORTHEAST_Male_Age_Adjusted_Rate,NORTHEAST_Female_Rank,NORTHEAST_Female_Number,NORTHEAST_Female_Rate,NORTHEAST_Female_Age_Adjusted_Rate,SHELBY_Total_Rank,SHELBY_Total_Number,SHELBY_Total_Rate,SHELBY_Total_Age_Adjusted_Rate,SHELBY_Male_Rank,SHELBY_Male_Number,SHELBY_Male_Rate,SHELBY_Male_Age_Adjusted_Rate,SHELBY_Female_Rank,SHELBY_Female_Number,SHELBY_Female_Rate,SHELBY_Female_Age_Adjusted_Rate,SOUTH CENTRAL_Total_Rank,SOUTH CENTRAL_Total_Number,SOUTH CENTRAL_Total_Rate,SOUTH CENTRAL_Total_Age_Adjusted_Rate,SOUTH CENTRAL_Male_Rank,SOUTH CENTRAL_Male_Number,SOUTH CENTRAL_Male_Rate,SOUTH CENTRAL_Male_Age_Adjusted_Rate,SOUTH CENTRAL_Female_Rank,SOUTH CENTRAL_Female_Number,SOUTH CENTRAL_Female_Rate,SOUTH CENTRAL_Female_Age_Adjusted_Rate,SOUTHEAST_Total_Rank,SOUTHEAST_Total_Number,SOUTHEAST_Total_Rate,SOUTHEAST_Total_Age_Adjusted_Rate,SOUTHEAST_Male_Rank,SOUTHEAST_Male_Number,SOUTHEAST_Male_Rate,SOUTHEAST_Male_Age_Adjusted_Rate,SOUTHEAST_Female_Rank,SOUTHEAST_Female_Number,SOUTHEAST_Female_Rate,SOUTHEAST_Female_Age_Adjusted_Rate,SULLIVAN_Total_Rank,SULLIVAN_Total_Number,SULLIVAN_Total_Rate,SULLIVAN_Total_Age_Adjusted_Rate,SULLIVAN_Male_Rank,SULLIVAN_Male_Number,SULLIVAN_Male_Rate,SULLIVAN_Male_Age_Adjusted_Rate,SULLIVAN_Female_Rank,SULLIVAN_Female_Number,SULLIVAN_Female_Rate,SULLIVAN_Female_Age_Adjusted_Rate,UPPER CUMBERLAND_Total_Rank,UPPER CUMBERLAND_Total_Number,UPPER CUMBERLAND_Total_Rate,UPPER CUMBERLAND_Total_Age_Adjusted_Rate,UPPER CUMBERLAND_Male_Rank,UPPER CUMBERLAND_Male_Number,UPPER CUMBERLAND_Male_Rate,UPPER CUMBERLAND_Male_Age_Adjusted_Rate,UPPER CUMBERLAND_Female_Rank,UPPER CUMBERLAND_Female_Number,UPPER CUMBERLAND_Female_Rate,UPPER CUMBERLAND_Female_Age_Adjusted_Rate,WEST_Total_Rank,WEST_Total_Number,WEST_Total_Rate,WEST_Total_Age_Adjusted_Rate,WEST_Male_Rank,WEST_Male_Number,WEST_Male_Rate,WEST_Male_Age_Adjusted_Rate,WEST_Female_Rank,WEST_Female_Number,WEST_Female_Rate,WEST_Female_Age_Adjusted_Rate
SUICIDE,,,,,,,,,,,,,EAST,10.0,168,21.6416478053694,21.429839849952,9,123,32.2013131852597,32.5243562609067,13,45,11.4123694868745,10.3174819043018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",,,,,,,,,,,,,EAST,11.0,156,20.0958158192716,14.2804000017472,11,82,21.4675421235064,17.2595722751994,9,74,18.7670076006381,12.0667852487974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,1.0,978,265.90249154441,198.255244931149,1,551,310.336864752829,267.913357427582,1,427,224.435625870542,144.666005713304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALIGNANT NEOPLASMS,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,2.0,725,197.115855183739,146.709290669772,2,386,217.404772766954,176.64120397036,2,339,178.181913747339,123.310191866704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,3.0,310,84.284020837185,61.0514518154414,4,144,81.1043711876721,67.6621104097985,3,166,87.2513205960422,58.3093968888546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,4.0,237,64.4364933497189,59.3722159150777,3,166,93.4953167857887,88.1674936553024,6,71,37.3183359175843,33.7765071863077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZHEIMER'S DISEASE,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,5.0,216,58.726930647845,43.3549743810437,6,75,42.2418599935792,40.5154615167014,4,141,74.1110614701322,44.8928500768213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,6.0,193,52.4736000696023,37.76290070006,5,86,48.4373327926375,41.8681124671863,5,107,56.2403090588946,34.6955506931238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABETES MELLITUS,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,7.0,111,30.1791171384759,23.9832790072845,7,54,30.4141391953771,25.2829257305067,7,57,29.9597908070747,22.3325213546383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUICIDE,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,8.0,61,16.5849202292525,16.0704901711091,8,50,28.1612399957195,27.2169091007049,16,11,5.78171401540038,5.64872302633178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKINSON'S DISEASE,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,9.0,59,16.0411523528836,12.2623683091067,9,33,18.5864183971749,17.416253699029,10,26,13.6658694909464,8.54405111943142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LIVER DISEASE AND CIRRHOSIS,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,10.0,53,14.4098487237768,11.8582352872838,10,32,18.0231935972605,15.7160303555917,11,21,11.0378176657644,8.44370787855579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPERTENSION AND RENAL DISEASE,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,11.0,51,13.8660808474079,10.0211052724833,13,19,10.7012711983734,8.72426050830024,8,32,16.8195316811648,11.4892070185768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,HAMILTON,,,,,,,,,,,,,13.0,41,11.1472414655632,9.18041072465664,15,13,7.32192239888707,6.91920842948929,9,28,14.7170902210192,10.4924012830273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1000,212.627071253458,179.892605182807,1,545,238.276365607758,231.567030468467,1,455,188.342626282696,139.764561092994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALIGNANT NEOPLASMS,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,2.0,883,187.749703916803,153.789040224512,2,471,205.92324440597,187.672616140712,2,412,170.543213249386,129.130283039985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,3.0,428,91.00438649648,87.3296644597707,3,277,121.10560233642,122.560124583966,4,151,62.5049155355761,56.8930322996094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,4.0,261,55.4956655971525,45.2326816062765,4,120,52.4645208677632,49.6040971421573,5,141,58.3655171557366,42.5700164833096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZHEIMER'S DISEASE,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,5.0,208,44.2264308207192,38.3039173520083,9,44,19.2369909848465,20.6314259123246,3,164,67.8861334293674,48.1490872021287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,6.0,204,43.3759225357054,37.0742588698584,6,78,34.1019385640461,33.4962049338358,6,126,52.1564195859774,37.8488100359421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABETES MELLITUS,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,7.0,172,36.5718562555947,31.1994326241239,5,97,42.4088210347752,41.0550261282099,7,75,31.0454878487961,24.0094346312965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LIVER DISEASE AND CIRRHOSIS,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,8.0,84,17.8606739852905,15.1077447461032,8,49,21.42301268767,18.2114328919407,9,35,14.4878943294382,12.4119721170453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,9.0,82,17.4354198427835,15.2344719925933,10,43,18.7997866442818,19.1359134947591,8,39,16.143653681374,12.7114329414405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUICIDE,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,9.0,82,17.4354198427835,16.9898518904724,7,63,27.5438734555757,27.5160368937314,15,19,7.864856921695,7.55863836619669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPERTENSION AND RENAL DISEASE,,,,,,,,,,,,,KNOX,,,,,,,,,,,,,,,,,,,,,,,,,13.0,53,11.2692347764333,9.46474745398763,14,22,9.61849549242325,8.74278127418934,10,31,12.8321349775024,8.81708172284417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,266,271.48120553985,213.360114808668,1,147,316.714784332314,277.733745289404,1,119,230.767739057925,161.349112208323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALIGNANT NEOPLASMS,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,213,217.389085639052,167.787477348128,2,114,245.615547033223,205.425110051081,2,99,191.98324509861,139.420257464187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,57,58.1745440442535,45.0029718215539,5,26,56.017580902314,50.5807072568137,3,31,60.1159656369384,41.1345921473845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,50,51.0303017932048,39.4316493449586,3,28,60.3266255871073,53.4071918650316,4,22,42.6629433552466,31.1135183822095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,49,50.0096957573407,48.1657817765453,3,28,60.3266255871073,59.5632843456188,5,21,40.7237186572808,39.5096165967342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZHEIMER'S DISEASE,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,30,30.6181810759229,24.3130426584392,8,11,23.6997457663636,22.3362151676348,6,19,36.8452692613493,24.3726157584629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABETES MELLITUS,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,30,30.6181810759229,22.8088378286156,6,17,36.6268798207437,30.976555568294,8,13,25.2099210735548,17.3244279637631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,26,26.5357569324665,20.4310004388977,9,10,21.5452234239669,19.1794739368688,7,16,31.0275951674521,21.00967974256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT (HOMICIDE),,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,17,17.3503026096896,18.6809292120332,7,*,*,*,22,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,16,16.3296965738255,12.3117969907614,10,*,*,*,10,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LIVER DISEASE AND CIRRHOSIS,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,14,14.2884845020973,10.8318592527694,13,*,*,*,9,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNEUMONITIS DUE TO SOLIDS AND LIQUIDS,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13,13.2678784662332,9.52419073093898,13,*,*,*,10,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKINSON'S DISEASE,,,,,,,,,,,,,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,*,*,*,21,*,*,*,10,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2222,166.583824575687,173.114086470768,1,1230,186.984083549961,218.125340976403,2,992,146.734057832744,136.649906824455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALIGNANT NEOPLASMS,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2190,164.1847775971,157.952965180721,2,1169,177.710889162524,191.00569331253,1,1021,151.023662345999,133.536951874206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,814,61.025757517826,62.5597136718255,3,532,80.8744166248613,85.4363050152317,6,282,41.7127059564857,41.5135417550387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,664,49.7802248056959,50.2365499900013,4,326,49.5583831197458,55.3956385532544,4,338,49.9960801889793,46.0824815808223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZHEIMER'S DISEASE,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,566,42.4331434337709,49.1939636384351,6,188,28.5796810629209,40.8807670527343,3,378,55.9127760693318,54.3735896502468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,548,41.0836795083153,43.9723289241666,5,231,35.1165230081635,42.2962957724716,5,317,46.8898148517942,44.4591753625528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABETES MELLITUS,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,259,19.4172864829447,19.0683640006867,8,146,22.1948586978003,23.9914290059649,7,113,16.714665861996,15.2856891998279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUICIDE,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,221,16.5684181958717,16.5146689419673,7,171,25.9953482008483,26.0834522051275,14,50,7.39586985044072,7.56933290004211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LIVER DISEASE AND CIRRHOSIS,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,171,12.8199072918283,11.6922466949134,9,105,15.9620559128016,14.8481606859307,10,66,9.76254820258175,8.80338878947891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,167,12.5200264195049,13.3326648442949,11,86,13.0736838904851,16.0496879773223,8,81,11.981309157714,11.3740025544035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKINSON'S DISEASE,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,148,11.0955922759684,12.3635458844977,10,94,14.2898405314605,19.2213531864398,13,54,7.98753943847598,7.66248371739243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPERTENSION AND RENAL DISEASE,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,117,8.77151551546148,9.15376343972784,14,49,7.44895942597407,8.54315798254504,9,68,10.0583829965994,9.46998393941758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
